Variable,Long name,Standard name,Units
mmrno3,NO3 Aerosol Mass Mixing Ratio,mass_fraction_of_nitrate_dry_aerosol_particles_in_air,kg kg-1
mmroa,Total Organic Aerosol Mass Mixing Ratio,mass_fraction_of_particulate_organic_matter_dry_aerosol _particles_in_air,kg kg-1
mmrpm1,PM1.0 Mass Mixing Ratio,mass_fraction_of_pm1_dry_aerosol_particles_in_air,kg kg-1
mmrpm2p5,PM2.5 Mass Mixing Ratio,mass_fraction_of_pm2p5_dry_aerosol_particles_in_air,kg kg-1
mmrpm10,PM10 Mass Mixing Ratio,mass_fraction_of_pm10_ambient_aerosol_particles_in_air,kg kg-1
mmrso4,Aerosol Sulfate Mass Mixing Ratio,mass_fraction_of_sulfate_dry_aerosol_particles_in_air,kg kg-1
mmrsoa,Secondary Organic Aerosol Mass Mixing Ratio,mass_fraction_of_secondary_particulate_organic_matter _dry_aerosol_particles_in_air,kg kg-1
mmrss,Sea-Salt Aerosol Mass Mixing Ratio,mass_fraction_of_sea_salt_dry_aerosol_particles_in_air,kg kg-1
modelCellAreai,The Cell Area of the Ice Sheet Model,cell_area,m2
mrfso,Soil Frozen Water Content,soil_frozen_water_content,kg m-2
mrfsofr,Average Layer Fraction of Frozen Moisture,mass_fraction_of_frozen_water_in_soil_moisture,Dimensionless
mrlqso,Average Layer Fraction of Liquid Moisture,mass_fraction_of_unfrozen_water_in_soil_moisture,Dimensionless
mrlso,Soil Liquid Water Content,liquid_water_content_of_soil_layer,kg m-2
mrro,Total Runoff,runoff_flux,kg m-2 s-1
mrrob,Subsurface Runoff,subsurface_runoff_flux,kg m-2 s-1
mrroIs,Ice Sheet Total Runoff,runoff_flux,kg m-2 s-1
mrroLi,Land Ice Runoff Flux,land_ice_runoff_flux,kg m-2 s-1
mrroLut,Total Runoff from Land-Use Tile,runoff_flux,kg m-2 s-1
mrros,Surface Runoff,surface_runoff_flux,kg m-2 s-1
mrsfl,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,kg m-2
mrsll,Liquid Water Content of Soil Layer,liquid_water_content_of_soil_layer,kg m-2
mrso,Total Soil Moisture Content,mass_content_of_water_in_soil,kg m-2
mrsofc,Capacity of Soil to Store Water (Field Capacity),soil_moisture_content_at_field_capacity,kg m-2
mrsol,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,kg m-2
mrsoLut,Total Soil Moisture,mass_content_of_water_in_soil,kg m-2
mrsos,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,kg m-2
mrsosLut,Moisture in Upper Portion of Soil Column of Land-Use Tile,mass_content_of_water_in_soil_layer,kg m-2
mrsow,Total Soil Wetness,volume_fraction_of_condensed_water_in_soil_at_field _capacity,Dimensionless
mrtws,Terrestrial Water Storage,land_water_amount,kg m-2
msftbarot,Ocean Barotropic Mass Streamfunction,ocean_barotropic_mass_streamfunction,kg s-1
msftmrho,Ocean Meridional Overturning Mass Streamfunction,ocean_meridional_overturning_mass_streamfunction,kg s-1
msftmrhompa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,ocean_meridional_overturning_mass_streamfunction_due_to _parameterized_mesoscale_eddy_advection,kg s-1
msftmz,Ocean Meridional Overturning Mass Streamfunction,ocean_meridional_overturning_mass_streamfunction,kg s-1
msftmzmpa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,ocean_meridional_overturning_mass_streamfunction_due_to _parameterized_mesoscale_eddy_advection,kg s-1
msftmzsmpa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection,ocean_meridional_overturning_mass_streamfunction_due_to _parameterized_submesoscale_eddy_advection,kg s-1
msftyrho,Ocean Y Overturning Mass Streamfunction,ocean_y_overturning_mass_streamfunction,kg s-1
msftyrhompa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,ocean_y_overturning_mass_streamfunction_due_to _parameterized_mesoscale_eddy_advection,kg s-1
msftyz,Ocean Y Overturning Mass Streamfunction,ocean_y_overturning_mass_streamfunction,kg s-1
msftyzmpa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,ocean_y_overturning_mass_streamfunction_due_to _parameterized_mesoscale_eddy_advection,kg s-1
msftyzsmpa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection,ocean_meridional_overturning_mass_streamfunction_due_to _parameterized_submesoscale_eddy_advection,kg s-1
n2o,Mole Fraction of N2O,mole_fraction_of_nitrous_oxide_in_air,mol mol-1
n2oClim,Mole Fraction of N2O,mole_fraction_of_nitrous_oxide_in_air,mol mol-1
n2oglobal,Global Mean Mole Fraction of N2O,mole_fraction_of_nitrous_oxide_in_air,1.00E-09
n2oglobalClim,Global Mean Mole Fraction of N2O,mole_fraction_of_nitrous_oxide_in_air,1.00E-09
nbp,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide _expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1
necbLut,Net Carbon Mass Flux into Land-Use Tile [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide _expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1
nep,Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide _expressed_as_carbon_due_to_all_land_processes_excluding _anthropogenic_land_use_change,kg m-2 s-1
netAtmosLandC13Flux,Net Mass Flux of 13C Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide _expressed_as_13C_due_to_all_land_processes,kg m-2 s-1
netAtmosLandC14Flux,Net Mass Flux of 14C Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide _expressed_as_14C_due_to_all_land_processes,kg m-2 s-1
netAtmosLandCO2Flux,Net Flux of CO2 Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide _expressed_as_carbon_due_to_all_land_processes,kg m-2 s-1
nh4,Dissolved Ammonium Concentration,mole_concentration_of_ammonium_in_sea_water,mol m-3
nh4os,Surface Dissolved Ammonium Concentration,mole_concentration_of_ammonium_in_sea_water,mol m-3
nh50,Artificial Tracer with 50 Day Lifetime,mole_fraction_of_artificial_tracer_with_fixed_lifetime _in_air,mol mol-1
nLand,Total Nitrogen in All Terrestrial Nitrogen Pools,mass_content_of_nitrogen_in_vegetation_and_litter_and _soil_and_forestry_and_agricultural_products,kg m-2
nLeaf,Nitrogen Mass in Leaves,leaf_mass_content_of_nitrogen,kg m-2
nLitter,Nitrogen Mass in Litter Pool,litter_mass_content_of_nitrogen,kg m-2
nLitterCwd,Nitrogen Mass in Coarse Woody Debris,wood_debris_mass_content_of_nitrogen,kg m-2
nLitterSubSurf,Nitrogen Mass in Below-Ground Litter (non CWD),subsurface_litter_mass_content_of_nitrogen,kg m-2
nLitterSurf,Nitrogen Mass in Above-Ground Litter (non CWD),surface_litter_mass_content_of_nitrogen,kg m-2
nMineral,Mineral Nitrogen in the Soil,soil_mass_content_of_inorganic_nitrogen_expressed_as _nitrogen,kg m-2
nMineralNH4,Mineral Ammonium in the Soil,soil_mass_content_of_inorganic_ammonium_expressed_as _nitrogen,kg m-2
nMineralNO3,Mineral Nitrate in the Soil,soil_mass_content_of_inorganic_nitrate_expressed_as _nitrogen,kg m-2
no,NO Volume Mixing Ratio,mole_fraction_of_nitrogen_monoxide_in_air,mol mol-1
no2,NO2 Volume Mixing Ratio,mole_fraction_of_nitrogen_dioxide_in_air,mol mol-1
no3,Dissolved Nitrate Concentration,mole_concentration_of_nitrate_in_sea_water,mol m-3
no3os,Surface Dissolved Nitrate Concentration,mole_concentration_of_nitrate_in_sea_water,mol m-3
nOther,"Nitrogen Mass in Vegetation Components Other than Leaves, Stem and Root",miscellaneous_living_matter_mass_content_of_nitrogen,kg m-2
noy,Total Reactive Nitrogen Volume Mixing Ratio,mole_fraction_of_noy_expressed_as_nitrogen_in_air,mol mol-1
npp,Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1
nppGrass,Net Primary Production on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1
nppLeaf,Net Primary Production Allocated to Leaves as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon _accumulated_in_leaves,kg m-2 s-1
nppLut,Net Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1
nppOther,Net Primary Production Allocated to Other Pools (not Leaves Stem or Roots) as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon _accumulated_in_miscellaneous_living_matter,kg m-2 s-1
nppRoot,Net Primary Production Allocated to Roots as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon _accumulated_in_roots,kg m-2 s-1
nppShrub,Net Primary Production on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1
nppStem,Net Primary Production Allocated to Stem as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon _accumulated_in_stems,kg m-2 s-1
nppTree,Net Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1
nppWood,Net Primary Production Allocated to Wood as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon _accumulated_in_wood,kg m-2 s-1
nProduct,Nitrogen Mass in Products of Land-Use Change,nitrogen_mass_content_of_forestry_and_agricultural _products,kg m-2
nRoot,Nitrogen Mass in Roots,root_mass_content_of_nitrogen,kg m-2
nSoil,Nitrogen Mass in Soil Pool,soil_mass_content_of_nitrogen,kg m-2
nStem,Nitrogen Mass in Stem,stem_mass_content_of_nitrogen,kg m-2
nudgincsm,Nudging Increment of Water in Soil Moisture,nudging_increment_in_mass_content_of_water_in_soil,kg m-2
nudgincswe,Nudging Increment of Water in Snow,nudging_increment_in_snow_and_ice_amount_on_land,kg m-2
nVeg,Nitrogen Mass in Vegetation,vegetation_mass_content_of_nitrogen,kg m-2
nwdFracLut,Non-Woody Vegetation Percentage Cover,area_fraction,%
o2,Dissolved Oxygen Concentration,mole_concentration_of_dissolved_molecular_oxygen_in_sea _water,mol m-3
o2min,Oxygen Minimum Concentration,mole_concentration_of_dissolved_molecular_oxygen_in_sea _water_at_shallowest_local_minimum_in_vertical_profile,mol m-3
